[2025-01-14 12:51:07,996] 25 root - INFO - Entered the data ingestion method or component
[2025-01-14 12:51:08,022] 28 root - INFO - Read the dataset as dataframe
[2025-01-14 12:51:08,047] 34 root - INFO - Train test split initiated
[2025-01-14 12:51:08,072] 41 root - INFO - Ingestion of the data is completed
[2025-01-14 12:51:08,119] 138 root - INFO - Read train and test data completed
[2025-01-14 12:51:08,119] 56 root - INFO - Starting feature engineering.
[2025-01-14 12:51:08,220] 92 root - INFO - Feature engineering completed.
[2025-01-14 12:51:08,220] 56 root - INFO - Starting feature engineering.
[2025-01-14 12:51:08,245] 92 root - INFO - Feature engineering completed.
[2025-01-14 12:51:08,246] 143 root - INFO - Feature enginerring completed in train and test data
[2025-01-14 12:51:08,246] 145 root - INFO - Applying preprocessing object on training and testing dataframe.
[2025-01-14 12:51:08,246] 103 root - INFO - Creating preprocessor object.
[2025-01-14 12:51:08,246] 124 root - INFO - Preprocessor object created.
